datetime,AAPL,cash,commission,total,returns,equity_curve,drawdown
2010-03-22,3211.0,99029.5,6.5,102240.5,0.000352234979869,1.022405,0.004246
2010-03-23,3262.0,99029.5,6.5,102291.5,0.000498823851605,1.022915,0.003736
2010-03-24,3277.0,99029.5,6.5,102306.5,0.000146639750126,1.023065,0.003586
2010-03-25,3238.0,99029.5,6.5,102267.5,-0.000381207450162,1.022675,0.003976
2010-03-26,3299.0,99029.5,6.5,102328.5,0.000596474930941,1.023285,0.003366
2010-03-29,3320.0,99029.5,6.5,102349.5,0.000205221419253,1.023495,0.003156
2010-03-30,3369.0,99029.5,6.5,102398.5,0.000478751728147,1.023985,0.002666
2010-03-31,3357.0,99029.5,6.5,102386.5,-0.000117189216639,1.023865,0.002786
2010-04-05,3407.0,99029.5,6.5,102436.5,0.000488345631504,1.024365,0.002286
2010-04-06,3422.0,99029.5,6.5,102451.5,0.000146432179936,1.024515,0.002136
2010-04-07,3437.0,99029.5,6.5,102466.5,0.000146410740692,1.024665,0.001986
2010-04-08,3428.0,99029.5,6.5,102457.5,-8.78335846349e-05,1.024575,0.002076
2010-04-09,3454.0,99029.5,6.5,102483.5,0.000253763755704,1.024835,0.001816
2010-04-12,3461.0,99029.5,6.5,102490.5,6.8303678153e-05,1.024905,0.001746
2010-04-13,3463.0,99029.5,6.5,102492.5,1.95140037369e-05,1.024925,0.001726
2010-04-14,3510.0,99029.5,6.5,102539.5,0.000458570139279,1.025395,0.001256
2010-04-15,3556.0,99029.5,6.5,102585.5,0.00044860760975,1.025855,0.000796
2010-04-16,3534.0,99029.5,6.5,102563.5,-0.000214455259272,1.025635,0.001016
2010-04-19,3530.0,99029.5,6.5,102559.5,-3.90002291264e-05,1.025595,0.001056
2010-04-20,3494.0,99029.5,6.5,102523.5,-0.000351015751832,1.025235,0.001416
2010-04-21,3703.0,99029.5,6.5,102732.5,0.00203855701376,1.027325,0.0
2010-04-22,3807.0,99029.5,6.5,102836.5,0.00101233786776,1.028365,0.0
2010-04-23,3869.0,99029.5,6.5,102898.5,0.000602898776213,1.028985,0.0
2010-04-26,3850.0,99029.5,6.5,102879.5,-0.000184647978348,1.028795,0.00019
2010-04-27,3743.0,99029.5,6.5,102772.5,-0.00104005171098,1.027725,0.00126
2010-04-28,3737.0,99029.5,6.5,102766.5,-5.8381376341e-05,1.027665,0.00132
2010-04-29,3838.0,99029.5,6.5,102867.5,0.000982810546238,1.028675,0.00031
2010-04-30,3730.0,99029.5,6.5,102759.5,-0.00104989428148,1.027595,0.00139
2010-05-03,3805.0,99029.5,6.5,102834.5,0.00072985952637,1.028345,0.00064
2010-05-04,3695.0,99029.5,6.5,102724.5,-0.00106967992259,1.027245,0.00174
2010-05-05,3657.0,99029.5,6.5,102686.5,-0.000369921489031,1.026865,0.00212
2010-05-06,3518.0,99029.5,6.5,102547.5,-0.0013536346063,1.025475,0.00351
2010-05-07,3369.0,99029.5,6.5,102398.5,-0.00145298520198,1.023985,0.005
2010-05-10,3628.0,99029.5,6.5,102657.5,0.00252933392579,1.026575,0.00241
2010-05-11,3665.0,99029.5,6.5,102694.5,0.000360421790907,1.026945,0.00204
2010-05-12,3744.0,99029.5,6.5,102773.5,0.000769271966853,1.027735,0.00125
2010-05-13,3691.0,99029.5,6.5,102720.5,-0.000515697139827,1.027205,0.00178
2010-05-14,3626.0,99029.5,6.5,102655.5,-0.000632785081848,1.026555,0.00243
2010-05-17,3632.0,99029.5,6.5,102661.5,5.84479156012e-05,1.026615,0.00237
2010-05-18,3605.0,99029.5,6.5,102634.5,-0.000263000248389,1.026345,0.00264
2010-05-19,3548.0,99029.5,6.5,102577.5,-0.000555368808734,1.025775,0.00321
2010-05-20,3397.0,99029.5,6.5,102426.5,-0.00147205771246,1.024265,0.00472
2010-05-21,3462.0,99029.5,6.5,102491.5,0.000634601397099,1.024915,0.00407
2010-05-24,3525.0,99029.5,6.5,102554.5,0.00061468512023,1.025545,0.00344
2010-05-25,3503.0,99029.5,6.5,102532.5,-0.000214520084443,1.025325,0.00366
2010-05-26,3487.0,99029.5,6.5,102516.5,-0.000156048082315,1.025165,0.00382
2010-05-27,3619.0,99029.5,6.5,102648.5,0.00128759760624,1.026485,0.0025
2010-05-28,3670.0,99029.5,6.5,102699.5,0.000496841161829,1.026995,0.00199
2010-06-01,3726.0,99029.5,6.5,102755.5,0.000545280162026,1.027555,0.00143
2010-06-02,3771.0,99029.5,6.5,102800.5,0.000437932762723,1.028005,0.00098
2010-06-03,3759.0,99029.5,6.5,102788.5,-0.000116730949752,1.027885,0.0011
2010-06-04,3657.0,99029.5,6.5,102686.5,-0.00099232890839,1.026865,0.00212
2010-06-07,3585.0,99029.5,6.5,102614.5,-0.000701163249307,1.026145,0.00284
2010-06-08,3562.0,99029.5,6.5,102591.5,-0.000224139863275,1.025915,0.00307
2010-06-09,3474.0,99029.5,6.5,102503.5,-0.000857770867957,1.025035,0.00395
2010-06-10,3579.0,99029.5,6.5,102608.5,0.00102435526592,1.026085,0.0029
2010-06-11,3622.0,99029.5,6.5,102651.5,0.000419068595682,1.026515,0.00247
2010-06-14,3633.0,99029.5,6.5,102662.5,0.000107158687404,1.026625,0.00236
2010-06-15,3710.0,99029.5,6.5,102739.5,0.000750030439547,1.027395,0.00159
2010-06-16,3818.0,99029.5,6.5,102847.5,0.00105120231264,1.028475,0.00051
2010-06-17,3884.0,99029.5,6.5,102913.5,0.000641726828557,1.029135,0.0
2010-06-18,3915.0,99029.5,6.5,102944.5,0.000301223843325,1.029445,0.0
2010-06-21,3860.0,99029.5,6.5,102889.5,-0.000534268465047,1.028895,0.00055
2010-06-22,3912.0,99029.5,6.5,102941.5,0.000505396566219,1.029415,3e-05
2010-06-23,3871.0,99029.5,6.5,102900.5,-0.000398284462535,1.029005,0.00044
2010-06-24,3843.0,99029.5,6.5,102872.5,-0.000272107521343,1.028725,0.00072
2010-06-25,3810.0,99029.5,6.5,102839.5,-0.000320785438285,1.028395,0.00105
2010-06-28,3833.0,99029.5,6.5,102862.5,0.000223649473208,1.028625,0.00082
2010-06-29,3660.0,99029.5,6.5,102689.5,-0.00168185684773,1.026895,0.00255
2010-06-30,3593.0,99029.5,6.5,102622.5,-0.000652452295512,1.026225,0.00322
2010-07-01,3550.0,99029.5,6.5,102579.5,-0.00041901142537,1.025795,0.00365
2010-07-02,3528.0,99029.5,6.5,102557.5,-0.000214467803021,1.025575,0.00387
2010-07-06,3552.0,99029.5,6.5,102581.5,0.00023401506472,1.025815,0.00363
2010-07-07,3695.0,99029.5,6.5,102724.5,0.00139401354045,1.027245,0.0022
2010-07-08,3687.0,99029.5,6.5,102716.5,-7.78782082171e-05,1.027165,0.00228
2010-07-09,3709.0,99029.5,6.5,102738.5,0.000214181752688,1.027385,0.00206
2010-07-12,3676.0,99029.5,6.5,102705.5,-0.000321203833032,1.027055,0.00239
2010-07-13,3597.0,99029.5,6.5,102626.5,-0.000769189576021,1.026265,0.00318
2010-07-14,3610.0,99029.5,6.5,102639.5,0.000126672935353,1.026395,0.00305
2010-07-15,3592.0,99029.5,6.5,102621.5,-0.000175371080335,1.026215,0.00323
2010-07-16,3570.0,99029.5,6.5,102599.5,-0.000214380027577,1.025995,0.00345
2010-07-19,3508.0,99029.5,6.5,102537.5,-0.000604291443915,1.025375,0.00407
2010-07-20,3598.0,99029.5,6.5,102627.5,0.000877727660612,1.026275,0.00317
2010-07-21,3632.0,99029.5,6.5,102661.5,0.000331295218143,1.026615,0.00283
2010-07-22,3700.0,99029.5,6.5,102729.5,0.000662370995943,1.027295,0.00215
2010-07-23,3713.0,99029.5,6.5,102742.5,0.000126545928872,1.027425,0.00202
2010-07-26,3704.0,99029.5,6.5,102733.5,-8.75976348639e-05,1.027335,0.00211
2010-07-27,3773.0,99029.5,6.5,102802.5,0.000671640701426,1.028025,0.00142
2010-07-28,3728.0,99029.5,6.5,102757.5,-0.000437732545415,1.027575,0.00187
2010-07-29,3687.0,99029.5,6.5,102716.5,-0.000398997640075,1.027165,0.00228
2010-07-30,3675.0,99029.5,6.5,102704.5,-0.000116826410557,1.027045,0.0024
2010-08-02,3741.0,99029.5,6.5,102770.5,0.000642620333092,1.027705,0.00174
2010-08-03,3742.0,99029.5,6.5,102771.5,9.73041874852e-06,1.027715,0.00173
2010-08-04,3757.0,99029.5,6.5,102786.5,0.000145954861027,1.027865,0.00158
2010-08-05,3739.0,99029.5,6.5,102768.5,-0.000175120273577,1.027685,0.00176
2010-08-06,3716.0,99029.5,6.5,102745.5,-0.00022380398663,1.027455,0.00199
2010-08-09,3739.0,99029.5,6.5,102768.5,0.000223854086067,1.027685,0.00176
2010-08-10,3706.0,99029.5,6.5,102735.5,-0.000321110067774,1.027355,0.00209
2010-08-11,3574.0,99029.5,6.5,102603.5,-0.00128485285028,1.026035,0.00341
2010-08-12,3597.0,99029.5,6.5,102626.5,0.000224163893045,1.026265,0.00318
2010-08-13,3559.0,99029.5,6.5,102588.5,-0.000370274734109,1.025885,0.00356
2010-08-16,3538.0,99029.5,6.5,102567.5,-0.000204701306677,1.025675,0.00377
2010-08-17,3600.0,99029.5,6.5,102629.5,0.000604479976601,1.026295,0.00315
